"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"California Beauty School","Modesto","CA",37.645217,-120.99689,NA,NA,NA,NA,14806
"California Christian College","Fresno","CA",36.749366,-119.711123,1,NA,10890,10890,NA
"Haven University","Garden Grove","CA",33.777392,-117.939412,NA,NA,7010,7010,NA
"California Hair Design Academy","La Mesa","CA",32.765221,-117.024261,NA,NA,NA,NA,23766
"California Institute of the Arts","Valencia","CA",34.39327,-118.566837,0.24764150943396,75865,55056,55056,41120
"California State University Maritime Academy","Vallejo","CA",38.069061,-122.231551,0.95502645502645,27186,7116,18996,91812
"California Western School of Law","San Diego","CA",32.722192,-117.162416,NA,NA,NA,NA,NA
"Canada College","Redwood City","CA",37.44877,-122.265398,NA,11335,1362,9006,49999
"College of the Canyons","Santa Clarita","CA",34.403993,-118.568698,NA,11066,1162,9322,44488
"Career Academy of Beauty","Garden Grove","CA",33.781018,-118.031697,NA,NA,NA,NA,27075
"Casa Loma College-Los Angeles","Sherman Oaks","CA",34.155096,-118.466548,0.4,NA,NA,NA,52626
"CET-San Diego","San Diego","CA",32.711302,-117.105328,NA,NA,NA,NA,29012
"CET-San Jose","San Jose","CA",37.322723,-121.88698,NA,NA,NA,NA,29012
"CET-El Centro","El Centro","CA",32.790908,-115.549079,NA,NA,NA,NA,29012
"CET-Colton","Colton","CA",34.077381,-117.353488,NA,NA,NA,NA,29012
"CET-Watsonville","Watsonville","CA",36.931833,-121.767991,NA,NA,NA,NA,29012
"CET-Salinas","Salinas","CA",36.707333,-121.65236,NA,NA,NA,NA,29012
"Cerritos College","Norwalk","CA",33.886874,-118.097337,NA,9184,1364,10324,39870
"Cerro Coso Community College","Ridgecrest","CA",35.567525,-117.66767,NA,16120,1384,9514,32320
"Chabot College","Hayward","CA",37.642458,-122.105636,NA,13831,1150,8158,45099
"Chaffey College","Rancho Cucamonga","CA",34.147663,-117.573932,NA,18878,1184,9392,38693
"Chapman University","Orange","CA",33.79302,-117.852518,0.72520087655222,78549,60672,60672,64844
"Charles R Drew University of Medicine and Science","Los Angeles","CA",33.925658,-118.242791,0.80455635491606,38874,14954,14954,103684
"Concordia University-Irvine","Irvine","CA",33.653665,-117.812305,0.6898769574944,54221,40180,40180,59831
"San Diego Christian College","Spring Valley","CA",32.750035,-116.993906,NA,50518,26300,26300,50020
"Church Divinity School of the Pacific","Berkeley","CA",37.876184,-122.261122,NA,NA,NA,NA,NA
"Citrus College","Glendora","CA",34.13537,-117.886469,NA,11309,1198,9310,40046
"Citrus Heights Beauty College","Citrus Heights","CA",38.712951,-121.289529,NA,NA,NA,NA,NA
"City College of San Francisco","San Francisco","CA",37.725953,-122.451155,NA,15224,1696,12244,47169
"Claremont Graduate University","Claremont","CA",34.103585,-117.713703,NA,NA,NA,NA,NA
"Claremont McKenna College","Claremont","CA",34.102154,-117.711188,0.10352075669994,78723,60715,60715,97174
"Milan Institute-Visalia","Visalia","CA",36.27164,-119.312151,NA,NA,NA,NA,29104
"Clovis Adult Education","Clovis","CA",36.834459,-119.690369,NA,NA,NA,NA,52431
"Coastline Community College","Fountain Valley","CA",33.715634,-117.929143,NA,17546,1174,8734,40708
"University of Silicon Valley","San Jose","CA",37.414049,-121.94087,0.64655172413793,36955,22480,22480,55079
"Coba Academy","Anaheim","CA",33.841141,-117.943108,NA,NA,NA,NA,25135
"Western University of Health Sciences","Pomona","CA",34.058092,-117.747732,NA,NA,NA,NA,NA
"Columbia College","Sonora","CA",38.030367,-120.388385,NA,16491,1356,7308,34788
"Columbia College Hollywood","Tarzana","CA",34.17972,-118.538793,NA,38107,26175,26175,37542
"Compton College","Compton","CA",33.878226,-118.209463,NA,11125,1142,8822,30063
"Contra Costa College","San Pablo","CA",37.969381,-122.337377,NA,13242,1312,9012,41541
"Cosumnes River College","Sacramento","CA",38.45295,-121.423108,NA,11048,1288,10768,38975
"Crafton Hills College","Yucaipa","CA",34.039178,-117.101173,NA,20594,1182,9942,40617
"Cuesta College","San Luis Obispo","CA",35.331276,-120.742235,NA,17574,1340,9348,46197
"Cuyamaca College","El Cajon","CA",32.744954,-116.943507,NA,12960,1340,9852,35068
"Cypress College","Cypress","CA",33.82833,-118.025143,NA,13843,1146,9090,42219
"De Anza College","Cupertino","CA",37.319914,-122.045783,NA,12852,1562,11507,57099
"International School of Beauty Inc","Palm Desert","CA",33.729555,-116.403928,NA,NA,NA,NA,22043
"Dell'Arte International School of Physical Theatre","Blue Lake","CA",40.880924,-123.988808,NA,NA,17650,17650,NA
"College of the Desert","Palm Desert","CA",33.732108,-116.388271,NA,18541,1326,9138,38688
"Design Institute of San Diego","San Diego","CA",32.880926,-117.167374,1,36656,27875,27875,47121
"Dharma Realm Buddhist University","Ukiah","CA",39.134532,-123.158174,0.54545454545454,NA,21000,21000,NA
"Diablo Valley College","Pleasant Hill","CA",37.968516,-122.073142,NA,12949,1312,9012,49308
"Dominican University of California","San Rafael","CA",37.981279,-122.512051,0.93184421534937,67130,49426,49426,71134
"Dominican School of Philosophy & Theology","Berkeley","CA",37.881099,-122.264612,NA,NA,NA,NA,NA
"East Los Angeles College","Monterey Park","CA",34.040531,-118.148785,NA,19153,1238,9870,39398
"El Camino Community College District","Torrance","CA",33.885229,-118.329913,NA,12067,1144,7984,39968
"Emperor's College of Traditional Oriental Medicine","Santa Monica","CA",34.030438,-118.485119,NA,NA,NA,NA,NA
"Empire College","Santa Rosa","CA",38.468052,-122.729337,NA,NA,NA,NA,39724
"Evergreen Valley College","San Jose","CA",37.30167,-121.76561,NA,23471,1366,8286,50010
"FIDM-Fashion Institute of Design & Merchandising","Los Angeles","CA",34.044209,-118.25993,0.41712846347607,54330,32645,32645,46231
"Feather River Community College District","Quincy","CA",39.953101,-120.973067,NA,15677,1461,9531,31848
